airport_code	arrivals	airport_state	airport_city
ATL	181220	Georgia	Atlanta, GA
ORD	168379	Illinois	Chicago, IL
DFW	158964	Texas	Dallas/Fort Worth, TX
DEN	154187	Colorado	Denver, CO
CLT	123977	North Carolina	Charlotte, NC
LAX	110468	California	Los Angeles, CA
LGA	98365	New York	New York, NY
SEA	97543	Washington	Seattle, WA
LAS	96050	Nevada	Las Vegas, NV
PHX	94825	Arizona	Phoenix, AZ
IAH	85043	Texas	Houston, TX
DCA	84273	Virginia	Washington, DC
EWR	83387	New Jersey	Newark, NJ
MCO	83243	Florida	Orlando, FL
JFK	78021	New York	New York, NY
BOS	77621	Massachusetts	Boston, MA
DTW	75038	Michigan	Detroit, MI
SFO	73684	California	San Francisco, CA
MSP	69648	Minnesota	Minneapolis, MN
MIA	65084	Florida	Miami, FL
SLC	63492	Utah	Salt Lake City, UT
PHL	60106	Pennsylvania	Philadelphia, PA
AUS	50750	Texas	Austin, TX
FLL	50228	Florida	Fort Lauderdale, FL
BNA	48281	Tennessee	Nashville, TN
