airport_code	departures	airport_state	airport_city
ATL	181294	Georgia	Atlanta, GA
ORD	168530	Illinois	Chicago, IL
DFW	158937	Texas	Dallas/Fort Worth, TX
DEN	154435	Colorado	Denver, CO
CLT	124062	North Carolina	Charlotte, NC
LAX	110300	California	Los Angeles, CA
LGA	98637	New York	New York, NY
SEA	97606	Washington	Seattle, WA
LAS	96068	Nevada	Las Vegas, NV
PHX	94804	Arizona	Phoenix, AZ
IAH	85089	Texas	Houston, TX
DCA	84280	Virginia	Washington, DC
EWR	83675	New Jersey	Newark, NJ
MCO	83497	Florida	Orlando, FL
JFK	78087	New York	New York, NY
BOS	77439	Massachusetts	Boston, MA
DTW	74949	Michigan	Detroit, MI
SFO	73622	California	San Francisco, CA
MSP	69597	Minnesota	Minneapolis, MN
MIA	65256	Florida	Miami, FL
SLC	63444	Utah	Salt Lake City, UT
PHL	60148	Pennsylvania	Philadelphia, PA
AUS	50712	Texas	Austin, TX
FLL	50310	Florida	Fort Lauderdale, FL
BNA	48231	Tennessee	Nashville, TN
